State,Minimum WBA,Maximum WBA,Year
MT,$139 ,$487 ,2016
NC,$15 ,$350 ,2016
ND,$43 ,$633 ,2016
NE,$70 ,$392 ,2016
NH,$32 ,$427 ,2016
NJ,$100 ,$657 ,2016
NM,$79 ,$423 ,2016
NV,$16 ,$417 ,2016
NY,$100 ,$420 ,2016
OH,$118 ,$435 ,2016
OK,$16 ,$505 ,2016
OR,$128 ,$549 ,2016
PA,$70 ,$573 ,2016
PR,$7 ,$133 ,2016
RI,$49 ,$566 ,2016
SC,$42 ,$326 ,2016
SD,$28 ,$366 ,2016
TN,$30 ,$275 ,2016
TX,$65 ,$479 ,2016
UT,$28 ,$509 ,2016
VA,$60 ,$378 ,2016
VI,$33 ,$477 ,2016
VT,$74 ,$446 ,2016
WA,$158 ,$664 ,2016
